昵称,性别,地区,日期,评论,点赞
狐狸゛,男,四川,2025-05-09 18:12:41,还有四个多月就上线了，真期待,7
良人如故,保密,广东,2025-05-09 17:26:39,这游戏要是做出来不得卖爆啊😦我预计三天1000万份，达不到我直接吃[微笑],12
龙尔科三号,保密,江西,2025-05-09 14:27:01,11:51 所以这里应该是小黄龙吗？还是广目天王的龙。,2
九天雷霆嘎巴菜,男,辽宁,2025-05-09 13:46:45,现在还有人我吃,8
阿莫原地起飞,男,山西,2025-05-09 02:25:06,回头一看，真的没白期待，游科真的交了一份满意的答卷,12
晓鹏鸽,男,云南,2025-05-09 01:17:10,再回来看看细节，找找细节有哪些又会成为DLC√[新世纪福音战士表情包_下定决心][新世纪福音战士表情包_下定决心][新世纪福音战士表情包_下定决心],1
东方仗且力,保密,上海,2025-05-09 01:01:11,有的兄弟有的,1
战恐局看门大爷,男,江苏,2025-05-09 00:59:46,永远有人！！！,2
I梦中的细雨I,保密,河北,2025-05-08 14:27:50,可惜大闹天宫没啦，诶,3
23050181257_bili,保密,青海,2025-05-08 12:49:11,来了,0
心动coisni,男,天津,2025-05-08 02:13:15,[doge_金箍],1
-ZeroDreams-,保密,未知,2025-05-08 01:38:48,2025/5/8,1
CC_tangyuan,男,北京,2025-05-07 22:53:27,我不信现在还有人[微笑],10
回嘉吃晚饭,保密,福建,2025-05-06 22:36:12,永远有人看,3
忢空空,保密,江西,2025-05-06 11:03:08,黑风山的葛根都让我收了九九八十一茬，土地龛上香头发都拔秃了，虎先锋一家子过了一百个清明节，四妹从被人抓走都快生出一个印度人口数了……DLC还没消息[doge],5
安好勿念oY,保密,上海,2025-05-06 01:17:09,我不信还有人[doge_金箍],18
海藻大奔,保密,江苏,2025-05-05 22:47:06,我还能见到四妹么？,4
雨夜高架小米汽车,男,广东,2025-05-05 22:42:16,回头来看游科的审美真的好,5
孤单de竹子,保密,重庆,2025-05-05 12:24:21,第一次看的时候想着我要做齐天大圣 打完了却一点不想了 只想他回来,4
khkfyoh,保密,江西,2025-05-05 09:07:18,2025/5/5/9:07前来考古,4
不及格天才,男,广东,2025-05-05 03:22:25,现在回头看 好多BOSS和设定没出现哈哈哈哈,4
摸鱼鱼鱼鱼qaq鱼,保密,山东,2025-05-05 00:14:57,DLCDLCDLCDLCDLCDLCDLCDLC 前三章太优秀了 后面有点赶,3
摸鱼鱼鱼鱼qaq鱼,保密,山东,2025-05-05 00:11:50,广智确实帅,1
歲歲平侒,保密,安徽,2025-05-05 00:01:41,可惜最后没有大闹天宫的本了害,0
吃不了辣椒算我输,保密,浙江,2025-05-04 21:35:11,来了来了，赚钱了我也买一份,0
GunSliver丶,男,广东,2025-05-04 20:23:48,我的国产单机梦由此开始[大哭]梦想实现于24820[大哭]黑神话和大表哥2，我心中唯二的白月光,1
照相馆的夏蜜柑,男,陕西,2025-05-04 20:07:28,梦开始的地方,0
心心可甜了,男,江苏,2025-05-04 17:17:52,[热词系列_哇酷哇酷],1
我不叫天王似飞鸟,男,山东,2025-05-04 13:09:08,再来看一遍,2
野人制作,保密,内蒙古,2025-05-04 11:22:24,运行黑神话悟空风扇声音很大，要如何设置啊？,3
宇宙无敌大爆炸美男子,保密,河南,2025-05-04 03:59:45,这个跟正式版改了什么？,1
哈姆TEN,男,山东,2025-05-04 00:21:53,打卡。当年最深刻的就是大圣出来挡的这一下子[笑哭]另外就是当时一堆搞魂like蹭热度的搞得我对黑神话甚至还有点不屑（当时一堆黄油都天天搁那儿做魂like搞得我真无语）。[笑哭]最后作品发售买来一玩真心震撼。,7
萧瑟秋风今又是丶,保密,云南,2025-05-03 23:25:24,二刷通关[妙啊],3
